"Country or Area","Year","Value"
"Belarus","2000","54905.9828500558"
"Belarus","1999","57965.5068820061"
"Belarus","1998","60073.4474202855"
"Belarus","1997","61588.4147964153"
"Belarus","1996","61734.7836593788"
"Belarus","1995","60905.6421817669"
"Belarus","1994","67879.3994155276"
"Belarus","1993","80561.8152743954"
"Belarus","1992","93482.9741653306"
"Belarus","1991","104071.655799972"
"Belarus","1990","108345.055020991"
"Belgium","2020","90368.0082918082"
"Belgium","2019","99432.6187685266"
"Belgium","2018","99873.6309244858"
"Belgium","2017","99126.2827333348"
"Belgium","2016","99601.6248898112"
"Belgium","2015","101061.721812671"
"Belgium","2014","96887.0023648572"
"Belgium","2013","102666.433095273"
"Belgium","2012","102355.635477086"
"Belgium","2011","105020.1152501"
"Belgium","2010","114557.864169425"
"Belgium","2009","107732.356835628"
"Belgium","2008","120175.598719827"
"Belgium","2007","120477.002347462"
"Belgium","2006","123880.438176778"
"Belgium","2005","125636.388919657"
"Belgium","2004","128778.888664878"
"Belgium","2003","128245.639706759"
"Belgium","2002","126860.502025617"
"Belgium","2001","126063.79621771"
"Belgium","2000","126719.534844423"
"Belgium","1999","124704.147399352"
"Belgium","1998","130212.392128155"
"Belgium","1997","123983.504839854"
"Belgium","1996","129474.969406934"
"Belgium","1995","125933.050535777"
"Belgium","1994","124795.26353152"
"Belgium","1993","121422.701797221"
"Belgium","1992","122488.070027522"
"Belgium","1991","123362.363394073"
"Belgium","1990","120292.644130863"
"Bulgaria","2020","36967.1129755169"
"Bulgaria","2019","42255.7653885915"
"Bulgaria","2018","43616.0654289429"
"Bulgaria","2017","47569.7567074773"
"Bulgaria","2016","45484.3103097561"
"Bulgaria","2015","48260.5337306648"
"Bulgaria","2014","45266.3010255991"
"Bulgaria","2013","42678.6018859825"
"Bulgaria","2012","48338.9050566601"
"Bulgaria","2011","53174.763166716"
"Bulgaria","2010","47858.9258454623"
"Bulgaria","2009","45812.4065205321"
"Bulgaria","2008","54076.1231827099"
"Bulgaria","2007","55737.5827760521"
"Bulgaria","2006","51891.8547969608"
"Bulgaria","2005","50654.4022721659"
"Bulgaria","2004","49583.3522490852"
"Bulgaria","2003","50532.3948749105"
"Bulgaria","2002","46155.4907665906"
"Bulgaria","2001","48980.1645591464"
"Bulgaria","2000","45464.3317774047"
"Bulgaria","1999","46378.9001298274"
"Bulgaria","1998","53174.7940835896"
"Bulgaria","1997","55855.8706869812"
"Bulgaria","1996","58501.5658919863"
"Bulgaria","1995","57951.0328845384"
"Bulgaria","1994","56404.5900133536"
"Bulgaria","1993","58426.6479032601"
"Bulgaria","1992","57366.2930045773"
"Bulgaria","1991","61516.9594478065"
"Bulgaria","1990","76699.1974269393"
"Canada","2020","534863.824244431"
"Canada","2019","584714.183979545"
"Canada","2018","584369.116208603"
"Canada","2017","571544.619408759"
"Canada","2016","560525.31321941"
"Canada","2015","574298.190105564"
"Canada","2014","569839.687195768"
"Canada","2013","572613.310668581"
"Canada","2012","568223.147291289"
"Canada","2011","567054.132948489"
"Canada","2010","556560.517553098"
"Canada","2009","543967.589576554"
"Canada","2008","576558.336363077"
"Canada","2007","593515.763612233"
"Canada","2006","568450.936376322"
"Canada","2005","574653.628312294"
"Canada","2004","579592.043634273"
"Canada","2003","581305.319926691"
"Canada","2002","564050.930578121"
"Canada","2001","558777.507230756"
"Canada","2000","566690.446916788"
"Canada","1999","544063.779659136"
"Canada","1998","529649.54257196"
"Canada","1997","521839.964086897"
"Canada","1996","507510.73344119"
"Canada","1995","491386.794010346"
"Canada","1994","478726.3138382"
"Canada","1993","464311.598320667"
